"Source:","C:\Users\Toohka\Documents\.DEV\SSTCGV\SSTCGV.kicad_sch"
"Date:","25.02.2022 11:00:10"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","U2","L78L05","Regulator_Linear:L78L05_TO92","Package_TO_SOT_THT:TO-92_Inline","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","5","C1, C5, C8, C9, C10","1uF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"2","3","C2, C6, C7","470uF","Device:C_Polarized","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"3","1","C3","100pf","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"4","1","C4","100nF","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"5","1","C11","220uF","Device:C_Polarized","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"6","1","C12","tun","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"7","1","CO1","C","Device:C","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","","","","","","","",""
"8","1","D1","4148","Device:D","Diode_THT:D_5KP_P10.16mm_Horizontal","~","","","","","","","",""
"9","1","D2","LED","Device:LED","LED_THT:LED_D5.0mm-3_Horizontal_O3.81mm_Z3.0mm","~","","","","","","","",""
"10","2","D3, D6","1N5819","Device:D_Schottky","Diode_THT:D_5KP_P10.16mm_Horizontal","~","","","","","","","",""
"11","2","D4, D5","10V","Device:D_Zener","Diode_THT:D_5KPW_P12.70mm_Horizontal","~","","","","","","","",""
"12","2","D7, D8","15V","Device:D_Zener","Diode_THT:D_5KPW_P12.70mm_Horizontal","~","","","","","","","",""
"13","1","IC1","ATTINY13-20PU","ATTINY13-20PU:ATTINY13-20PU","ATTINY13-20PU:DIP794W56P254L959H533Q8N","http://componentsearchengine.com/Datasheets/1/ATtiny13-20PU.pdf","ATTINY13-20PU","https://www.arrow.com/en/products/attiny13-20pu/microchip-technology?region=nac","8-bit MCU","5.334","Microchip","ATTINY13-20PU","556-ATTINY13-20PU","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATTINY13-20PU?qs=%2F3fErP%2Fu%252BPEEWtwa1aKtbA%3D%3D"
"14","1","J1-1","INPUT 1","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","",""
"15","1","J1-2","INPUT 2","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","",""
"16","1","J2","COILS","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","",""
"17","1","J3","POWER","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","","","",""
"18","1","J4","OPT","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","","","",""
"19","1","L1","L_Iron_Coupled_1243","Device:L_Iron_Coupled_1243","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","",""
"20","3","Q1, Q2, Q3","IRLZ44N","Transistor_FET:IRLZ44N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","","","","","","","",""
"21","1","R1","22","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"22","3","R2, R3, R9","10k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"23","1","R4","47k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"24","1","R5","100","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"25","1","R6","200","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"26","1","R8","2,7k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"27","2","RO1, RO2","R","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","","",""
"28","1","RV1","1k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA9-H2,5_Horizontal","~","","","","","","","",""
"29","1","RV2","-","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3005_Horizontal","~","","","","","","","",""
"30","1","SW1","SW_Push_DPDT","Switch:SW_Push_DPDT","Button_Switch_THT:SW_Push_2P2T_Toggle_CK_PVA2xxH1xxxxxxV2","~","","","","","","","",""
"31","1","U1","EL817","Isolator:EL817","Package_DIP:DIP-4_W7.62mm","http://www.everlight.com/file/ProductFile/EL817.pdf","","","","","","","",""
"32","1","U2","L78L05","Regulator_Linear:L78L05_TO92","Package_TO_SOT_THT:TO-92_Inline","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","","","","","","","",""
